pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,sy_gaiamag
Kepler-138 b,Kepler-138,1,1,4,Transit,2014,Kepler,10.31340000,0.075300,0.640,0.07000,0.020000,9.90,452,,3841.00,0.54,0.54,-0.180,[Fe/H],4.71,66.8624000,12.4715000
Kepler-138 c,Kepler-138,1,1,4,Transit,2014,Kepler,13.78150000,0.091300,1.510,2.30000,0.017000,6.80,410,,3841.00,0.54,0.54,-0.180,[Fe/H],4.71,66.8624000,12.4715000
Kepler-138 d,Kepler-138,1,1,4,Transit,2014,Kepler,23.09230000,0.128800,1.510,2.10000,0.010000,3.40,345,,3841.00,0.54,0.54,-0.180,[Fe/H],4.71,66.8624000,12.4715000
Kepler-138 e,Kepler-138,1,1,4,Transit Timing Variations,2022,Multiple Observatories,38.23000000,0.180300,,0.43000,0.112000,1.73,292,,3841.00,0.54,0.54,-0.180,[Fe/H],4.71,66.8624000,12.4715000
Kepler-1380 b,Kepler-1380,1,1,1,Transit,2016,Kepler,10.31082450,,1.430,,,,,,5570.00,0.94,0.96,0.100,[Fe/H],4.48,2462.9400000,15.6136000
Kepler-1381 b,Kepler-1381,1,1,1,Transit,2016,Kepler,25.38426860,,2.250,,,,,,5747.00,0.94,0.96,-0.100,[Fe/H],4.48,1197.0400000,15.4776000
Kepler-1382 b,Kepler-1382,1,1,1,Transit,2016,Kepler,16.35830550,,1.880,,,,,,6161.00,1.72,1.36,0.300,[Fe/H],4.10,738.2610000,12.7575000
Kepler-1383 b,Kepler-1383,1,1,1,Transit,2016,Kepler,13.90935830,,1.410,,,,,,6370.00,1.44,1.26,0.030,[Fe/H],4.23,1027.2100000,13.7077000
Kepler-1384 b,Kepler-1384,1,1,1,Transit,2016,Kepler,15.36262753,,1.940,,,,,,4919.00,0.74,0.78,-0.060,[Fe/H],4.60,,15.4460000
Kepler-1385 b,Kepler-1385,1,1,1,Transit,2016,Kepler,2.88879862,,0.850,,,,,,5732.00,1.29,1.15,0.410,[Fe/H],4.27,688.7950000,12.8443000
Kepler-1386 b,Kepler-1386,1,1,1,Transit,2016,Kepler,6.73972381,,1.240,,,,,,5733.00,1.03,1.02,0.110,[Fe/H],4.41,835.8820000,14.4168000
Kepler-1387 b,Kepler-1387,1,1,1,Transit,2016,Kepler,2.27952666,,0.930,,,,,,5046.00,0.77,0.82,0.020,[Fe/H],4.58,455.3580000,14.5804000
